,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
0,SE Marsh,1131,171,170,24,2,59,26,136.28
1,ST Jayasuriya,1107,162,69,11,3,57,31,154.35
2,YK Pathan,1044,89,79,17,0,43,25,171.94
3,V Sehwag,1032,77,75,9,1,46,21,177.29
4,G Gambhir,1011,134,156,26,2,68,8,135.53
5,SR Watson,975,114,115,26,1,47,19,146.58
6,AC Gilchrist,903,153,93,11,1,51,19,132.93
7,RG Sharma,893,100,101,17,1,38,19,146.38
8,SK Raina,877,98,133,20,0,35,18,138.49
9,MS Dhoni,811,124,114,26,2,38,15,129.78
10,GC Smith,810,158,133,22,0,54,8,117.6
11,KC Sangakkara,803,69,73,13,3,41,8,154.59
12,Yuvraj Singh,795,68,72,7,1,24,19,156.54
13,R Dravid,755,104,133,16,0,35,11,124.08
14,BB McCullum,729,32,26,10,0,13,15,195.83
15,SA Asnodkar,714,101,79,12,0,43,6,129.05
16,Y Venugopal Rao,673,87,79,13,0,22,15,131.02
17,JA Morkel,658,63,62,10,1,18,14,143.45
18,DJ Hussey,657,109,103,19,0,19,17,119.48
19,SC Ganguly,648,167,95,12,1,33,15,106.5
20,JR Hopes,647,61,48,7,1,27,8,145.39
21,S Dhawan,643,134,111,19,1,35,8,110.39
22,RV Uthappa,631,133,101,13,1,34,9,109.97
23,LRPL Taylor,630,28,31,3,0,13,10,175.29
24,MEK Hussey,629,31,38,8,0,12,11,168.0
25,AM Nayar,603,42,65,9,0,16,9,142.55
26,ML Hayden,593,53,47,5,0,24,6,140.0
27,S Badrinath,583,59,41,8,1,21,8,139.13
28,MV Boucher,577,68,74,8,1,24,6,124.31
29,LA Pomersbach,570,36,40,3,0,13,9,150.5
30,Kamran Akmal,569,33,20,4,0,13,8,164.1
31,A Symonds,561,47,34,5,1,15,9,145.05
32,PA Patel,551,166,92,12,0,42,3,95.87
33,MF Maharoof,538,27,27,8,0,10,7,158.23
34,DJ Bravo,528,53,50,8,2,19,5,129.93
35,Umar Gul,525,8,5,0,0,1,5,205.26
36,DPMD Jayawardene,525,52,53,9,2,15,7,129.71
37,LR Shukla,519,44,57,4,0,17,5,128.35
38,Shahid Afridi,507,20,12,0,0,7,6,168.89
39,Salman Butt,506,86,47,7,0,30,2,112.21
40,WP Saha,505,46,39,15,0,12,7,133.61
41,SP Fleming,500,86,42,11,2,27,3,114.62
42,SM Pollock,497,47,47,2,0,12,8,126.72
43,Misbah-ul-Haq,491,31,29,6,0,10,6,142.68
44,KD Karthik,491,35,43,13,0,13,4,134.26
45,JH Kallis,490,82,75,4,0,23,4,105.85
46,S Vidyut,487,55,30,5,1,21,3,126.09
47,VVS Laxman,474,53,55,3,0,22,1,115.67
48,PP Chawla,459,25,14,9,0,10,3,147.54
49,RA Jadeja,459,46,36,8,1,11,6,125.0
50,TM Dilshan,455,34,26,2,0,14,3,131.65
51,CRD Fernando,451,0,0,1,0,0,0,200.0
52,DB Ravi Teja,448,34,33,3,0,10,5,128.24
53,Harbhajan Singh,447,6,6,1,0,1,3,176.47
54,SR Tendulkar,447,97,56,8,0,26,2,99.47
55,HH Gibbs,446,90,38,5,1,17,8,105.03
56,SD Chitnis,436,1,6,1,0,1,1,180.0
57,SM Katich,429,29,21,8,1,11,2,133.33
58,MK Tiwary,422,33,36,2,0,16,0,119.54
59,V Kohli,420,82,59,5,0,18,4,98.21
60,NK Patel,417,33,28,7,1,13,1,124.1
61,M Kaif,416,87,55,13,1,14,6,100.0
62,P Kumar,404,53,26,5,0,10,6,112.0
63,B Akhil,402,14,10,1,0,4,3,143.75
64,LPC Silva,399,10,8,3,0,5,1,148.15
65,IK Pathan,397,56,42,6,0,9,6,105.88
66,CL White,392,40,48,5,0,8,4,108.57
67,DB Das,385,47,31,3,0,9,5,108.42
68,W Jaffer,382,52,38,4,1,12,3,104.55
69,MS Gony,378,12,7,1,0,2,3,140.0
70,D Salunkhe,368,8,9,2,0,5,0,137.5
71,SK Warne,364,25,22,4,0,7,2,116.67
72,Joginder Sharma,363,3,6,0,0,1,1,145.45
73,RR Powar,356,10,6,0,0,4,1,133.33
74,AS Yadav,356,18,13,2,0,5,2,122.5
75,JDP Oram,349,4,6,1,0,1,1,138.46
76,SS Tiwary,346,8,8,0,0,3,1,130.0
77,SB Styris,335,52,58,3,0,9,2,90.32
78,R Bhatia,334,11,12,1,0,2,2,121.43
79,AB Agarkar,328,24,14,4,0,5,2,110.2
80,Sohail Tanvir,323,11,14,2,0,3,1,116.13
81,VRV Singh,322,2,0,0,0,1,0,133.33
82,K Goel,320,47,18,3,0,7,4,96.2
83,DR Smith,318,19,13,3,0,5,1,109.76
84,T Taibu,317,9,9,5,0,3,0,119.23
85,SP Goswami,316,42,28,6,0,9,1,95.35
86,B Lee,315,8,3,0,0,2,1,121.43
87,Shoaib Malik,314,16,24,4,0,5,0,106.12
88,DNT Zoysa,304,3,3,2,0,1,0,122.22
89,AB de Villiers,304,41,37,16,0,5,1,95.0
90,YV Takawale,302,39,15,5,0,7,2,95.59
91,RR Sarwan,300,34,31,6,0,6,1,93.59
92,WPUJC Vaas,298,7,5,5,0,0,1,116.67
93,RP Singh,298,9,13,0,0,2,1,108.0
94,MA Khote,295,10,8,1,0,2,1,109.09
95,M Kartik,293,10,12,3,0,3,0,107.14
96,L Ronchi,291,23,4,0,0,6,1,100.0
97,SB Bangar,288,21,23,1,0,1,3,95.92
98,AD Mascarenhas,286,4,3,0,0,0,1,112.5
99,J Arunkumar,268,16,3,0,0,5,0,95.83
100,DT Patil,260,5,5,2,0,1,0,100.0
101,DS Lehmann,259,10,6,0,0,3,0,94.74
102,I Sharma,258,5,3,2,0,1,0,100.0
103,WA Mota,257,10,14,2,0,2,0,92.86
104,A Mishra,257,16,21,2,0,3,0,88.1
105,PR Shah,256,19,12,3,0,4,0,89.47
106,Mohammad Hafeez,255,51,24,0,0,7,2,76.19
107,M Rawat,253,21,12,2,0,3,1,87.18
108,DP Vijaykumar,251,0,1,0,0,0,0,100.0
109,VS Yeligati,250,1,0,1,0,0,0,100.0
110,R Vinay Kumar,249,16,7,2,0,2,1,89.29
111,RR Raje,235,4,4,0,0,1,0,88.89
112,Z Khan,235,22,16,1,0,4,0,79.07
113,A Chopra,232,30,18,2,0,5,0,76.36
114,RT Ponting,223,26,23,1,0,2,1,73.58
115,S Chanderpaul,222,20,9,0,0,4,0,75.76
116,DJ Thornely,222,31,19,0,0,2,2,72.22
117,GD McGrath,214,4,0,0,0,1,0,80.0
118,TM Srivastava,212,4,5,0,1,0,0,80.0
119,A Kumble,210,8,7,1,0,1,0,76.47
120,AA Noffke,207,6,5,0,0,1,0,75.0
121,B Chipli,196,19,8,0,0,3,0,66.67
122,BJ Hodge,191,12,4,0,0,2,0,66.67
123,CK Kapugedera,187,10,12,2,0,0,0,66.67
124,T Kohli,180,11,4,0,0,0,1,62.5
125,Pankaj Singh,175,4,3,1,0,0,0,62.5
126,M Ntini,168,15,1,1,0,2,0,57.89
127,VY Mahesh,155,15,11,2,0,0,0,53.57
128,AB Dinda,150,2,2,0,0,0,0,50.0
129,PP Ojha,150,2,2,0,0,0,0,50.0
130,PM Sarvesh Kumar,150,1,1,0,0,0,0,50.0
131,Iqbal Abdulla,150,1,1,0,0,0,0,50.0
132,Mohammad Asif,150,3,3,0,0,0,0,50.0
133,S Sohal,148,5,2,1,0,0,0,50.0
134,Younis Khan,134,4,3,0,0,0,0,42.86
135,SK Trivedi,131,7,5,0,0,0,0,41.67
136,H Das,129,3,2,0,0,0,0,40.0
137,DW Steyn,129,3,2,0,0,0,0,40.0
138,PJ Sangwan,127,4,0,1,0,0,0,40.0
139,D Kalyankrishna,123,5,3,0,0,0,0,37.5
140,SB Joshi,121,10,6,0,0,0,0,37.5
141,MK Pandey,106,7,3,0,0,0,0,30.0
