,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
0,SK Raina,5505,1081,1227,219,10,360,161,134.11
1,V Kohli,5323,1192,1303,222,10,361,149,127.12
2,CH Gayle,5272,1088,668,67,3,282,252,146.23
3,RG Sharma,5204,1082,1261,163,2,323,164,129.18
4,DA Warner,4706,950,830,177,11,338,134,138.24
5,AB de Villiers,4657,702,918,182,12,275,142,146.57
6,G Gambhir,4499,1167,1151,222,15,422,51,120.01
7,RV Uthappa,4367,1090,990,182,11,341,104,124.17
8,MS Dhoni,4311,810,991,231,11,236,140,135.18
9,V Sehwag,4210,737,558,96,2,334,106,148.83
10,YK Pathan,4047,715,735,125,4,231,143,142.29
11,S Dhawan,3868,1077,972,147,14,348,62,117.25
12,SR Watson,3715,786,605,97,8,252,121,136.81
13,BB McCullum,3369,893,610,94,3,248,106,124.62
14,AM Rahane,3351,882,895,149,12,285,51,117.63
15,KD Karthik,3268,783,839,147,5,256,60,121.15
16,Yuvraj Singh,3207,822,626,103,3,175,133,125.62
17,M Vijay,3158,930,663,155,17,237,89,119.85
18,SE Marsh,3137,660,652,90,6,233,73,129.52
19,DR Smith,3102,771,470,78,3,213,109,130.23
20,AC Gilchrist,3082,737,417,66,4,239,92,133.05
21,AT Rayudu,3076,663,818,128,1,198,76,123.41
22,SR Tendulkar,2965,874,721,117,7,296,29,114.19
23,KA Pollard,2919,543,482,94,5,131,125,141.96
24,JH Kallis,2856,982,888,113,8,255,44,105.76
25,R Dravid,2744,819,681,118,1,269,28,112.94
26,MEK Hussey,2609,643,648,96,11,198,52,119.96
27,JP Duminy,2576,535,769,123,6,123,78,121.97
28,PA Patel,2431,811,570,87,8,248,27,109.77
29,DPMD Jayawardene,2410,619,565,93,4,200,40,118.54
30,MK Pandey,2335,647,613,96,6,169,53,114.71
31,KC Sangakkara,2267,552,563,81,5,195,27,118.2
32,DA Miller,2206,346,431,101,1,100,74,140.55
33,RA Jadeja,2017,487,573,110,5,112,53,117.46
34,NV Ojha,1994,620,408,55,8,119,76,114.62
35,S Badrinath,1926,493,484,85,1,154,28,115.74
36,BJ Hodge,1894,439,452,89,8,122,43,121.42
37,WP Saha,1884,379,388,96,3,110,49,129.07
38,AJ Finch,1868,479,351,62,3,145,40,120.74
39,DJ Hussey,1831,425,452,72,2,90,60,120.07
40,SPD Smith,1821,291,405,87,4,113,33,133.01
41,F du Plessis,1801,357,449,75,8,109,38,124.23
42,ML Hayden,1749,367,257,48,2,121,44,131.94
43,DJ Bravo,1730,419,365,93,5,102,48,122.29
44,SC Ganguly,1674,662,427,54,3,137,42,101.43
45,MK Tiwary,1670,475,503,64,7,121,28,108.85
46,GJ Maxwell,1635,233,179,50,0,76,56,154.71
47,SS Tiwary,1619,404,448,82,2,84,45,114.93
48,TM Dilshan,1577,492,335,54,2,140,24,110.12
49,KP Pietersen,1567,290,284,48,4,91,40,131.57
50,JA Morkel,1563,252,288,55,1,61,55,136.94
51,IK Pathan,1554,372,405,76,2,88,38,116.51
52,CL White,1476,274,335,49,2,76,38,125.45
53,LMP Simmons,1458,345,236,44,2,99,36,123.62
54,SV Samson,1447,352,353,62,5,80,38,116.85
55,A Symonds,1433,308,288,66,4,74,41,124.71
56,LRPL Taylor,1433,334,334,62,3,66,46,119.17
57,Y Venugopal Rao,1376,355,341,53,1,77,37,113.43
58,Mandeep Singh,1370,313,257,60,2,113,14,121.08
59,Harbhajan Singh,1366,251,175,32,0,76,40,136.41
60,KK Nair,1332,279,243,58,3,96,20,124.75
61,ST Jayasuriya,1321,292,128,22,7,84,39,133.39
62,MA Agarwal,1252,306,219,25,0,79,33,118.28
63,Q de Kock,1243,244,188,19,3,90,21,127.61
64,AD Russell,1215,128,114,23,0,48,37,164.0
65,HH Gibbs,1198,410,264,45,3,83,31,105.38
66,EJG Morgan,1191,287,226,49,3,66,32,119.0
67,MS Bisla,1157,375,207,36,3,93,23,108.28
68,M Vohra,1144,262,166,46,7,72,26,124.87
69,KL Rahul,1143,217,246,41,3,61,24,122.47
70,STR Binny,1102,200,212,45,6,53,26,126.94
71,MC Henriques,1099,213,221,47,1,59,23,122.7
72,AD Mathews,1071,197,255,46,3,42,28,121.19
73,GC Smith,1071,320,228,39,1,94,9,106.95
74,JD Ryder,1067,200,145,30,3,69,19,129.61
75,KM Jadhav,1059,159,223,37,1,47,23,127.76
76,GJ Bailey,1050,207,222,44,1,59,19,120.11
77,TL Suman,1028,255,205,43,3,55,26,115.16
78,AM Nayar,1001,234,230,47,1,55,20,113.63
79,SA Yadav,923,147,149,28,2,46,18,128.97
80,JP Faulkner,908,119,137,35,0,32,23,136.71
81,PC Valthaty,902,230,101,20,0,61,20,116.9
82,OA Shah,897,149,168,29,2,34,23,124.94
83,Shakib Al Hasan,892,140,169,32,0,44,15,124.75
84,JR Hopes,853,120,114,19,1,49,11,132.8
85,RS Bopara,843,175,204,27,7,39,16,113.46
86,SS Iyer,842,194,129,18,0,43,22,115.52
87,PP Chawla,835,203,161,33,0,49,15,111.28
88,NLTC Perera,825,129,121,26,1,23,26,130.06
89,SA Asnodkar,816,164,105,17,0,56,10,120.17
90,CJ Anderson,801,127,84,19,1,32,21,133.45
91,Azhar Mahmood,778,124,116,19,0,39,13,124.76
92,KH Pandya,771,38,39,13,2,22,13,186.61
93,M Manhas,764,197,191,44,1,43,10,105.76
94,CH Morris,755,53,69,21,0,18,17,160.11
95,MV Boucher,750,116,127,29,1,32,13,123.9
96,RN ten Doeschate,748,80,102,15,0,26,15,136.97
97,LR Shukla,737,152,137,20,0,33,16,113.13
98,AR Patel,723,116,149,18,0,23,17,117.34
99,MJ Lumb,717,96,41,9,1,45,6,140.4
100,S Sohal,714,158,82,17,1,34,18,117.1
101,Gurkeerat Singh,711,107,112,16,0,36,9,122.14
102,DB Ravi Teja,701,124,136,18,3,35,9,115.38
103,AL Menaria,697,152,149,24,0,24,18,109.26
104,J Botha,690,138,143,37,2,39,5,112.36
105,A Ashish Reddy,686,61,83,20,1,16,15,142.86
106,AP Tare,686,125,68,18,1,37,11,123.46
107,DJ Hooda,660,79,89,25,0,15,16,131.7
108,R Bhatia,655,103,111,22,1,24,12,119.41
109,JC Buttler,646,72,69,14,0,23,11,134.92
110,SN Khan,645,25,41,12,0,19,6,171.84
111,LA Pomersbach,641,109,85,18,1,25,13,120.32
112,DT Christian,641,99,147,21,2,17,13,114.05
113,CA Pujara,640,200,133,15,1,50,4,96.77
114,DB Das,633,124,92,12,0,23,16,113.86
115,DJG Sammy,623,108,94,15,1,15,18,117.53
116,P Kumar,602,157,94,24,0,22,17,105.73
117,CR Brathwaite,601,17,7,2,0,6,8,207.5
118,JEC Franklin,596,124,129,22,0,25,9,105.83
119,SM Katich,593,85,56,15,1,26,8,126.18
120,B Chipli,577,110,100,7,4,28,7,109.38
121,Kamran Akmal,569,33,20,4,0,13,8,164.1
122,VVS Laxman,569,123,100,10,0,33,5,104.06
123,Bipul Sharma,567,24,44,14,0,9,8,157.58
124,MF Maharoof,554,44,43,16,0,12,9,142.74
125,R Vinay Kumar,553,117,108,31,0,20,9,106.67
126,LJ Wright,550,22,20,2,0,16,3,168.25
127,PD Collingwood,550,60,66,10,1,9,13,127.67
128,R Sathish,550,92,89,24,3,22,6,114.41
129,BJ Rohrer,548,57,48,14,1,21,5,132.19
130,KK Cooper,544,29,16,8,0,9,8,165.71
131,Y Nagar,544,113,109,18,2,20,9,105.17
132,KV Sharma,542,97,99,21,1,13,12,110.29
133,RR Pant,541,59,57,13,1,19,6,127.74
134,P Negi,538,69,62,13,1,16,9,122.94
135,UBT Chand,538,170,88,15,0,32,9,95.54
136,MD Mishra,537,102,65,14,0,24,8,111.27
137,Umar Gul,525,8,5,0,0,1,5,205.26
138,MR Marsh,523,84,83,11,0,9,14,111.94
139,HM Amla,515,49,45,4,0,20,4,128.69
140,Shahid Afridi,507,20,12,0,0,7,6,168.89
141,Salman Butt,506,86,47,7,0,30,2,112.21
142,SP Fleming,500,86,42,11,2,27,3,114.62
143,BCJ Cutting,497,20,9,3,0,4,7,169.77
144,SM Pollock,497,47,47,2,0,12,8,126.72
145,AC Voges,496,44,61,18,2,15,3,126.57
146,Misbah-ul-Haq,491,31,29,6,0,10,6,142.68
147,DH Yagnik,490,62,44,11,0,23,2,119.72
148,MN van Wyk,488,44,58,12,1,19,1,123.7
149,M Kaif,488,120,86,23,1,22,6,100.39
150,S Vidyut,487,55,30,5,1,21,3,126.09
151,D Wiese,484,29,43,6,0,12,4,135.11
152,MP Stoinis,483,38,42,14,0,13,4,131.53
153,AS Raut,481,67,73,9,3,13,7,112.79
154,A Mishra,478,142,139,17,0,25,3,89.26
155,AC Blizzard,477,48,17,2,1,21,2,131.87
156,M Morkel,475,35,33,8,1,11,5,135.48
157,HH Pandya,471,62,46,5,0,13,8,116.42
158,Sachin Baby,469,31,32,12,0,9,5,137.08
159,AB Agarkar,459,60,67,15,0,13,5,111.88
160,AA Jhunjhunwala,459,98,82,13,1,19,5,99.54
161,RS Sodhi,457,1,0,0,0,1,0,200.0
162,N Rana,457,37,24,2,0,7,8,133.33
163,YV Takawale,452,100,41,12,0,26,3,102.75
164,SP Goswami,451,124,92,15,1,26,2,92.69
165,FY Fazal,450,74,75,7,0,22,1,102.23
166,R Ashwin,449,105,103,14,0,22,2,93.9
167,B Lee,447,46,36,4,0,8,8,121.57
168,RE van der Merwe,447,66,53,4,2,11,8,110.42
169,MJ McClenaghan,446,13,9,0,0,2,5,162.07
170,UT Khawaja,441,43,38,6,1,14,3,120.95
171,MS Gony,438,39,19,4,0,6,8,130.26
172,CM Gautam,438,84,40,8,3,17,6,106.96
173,R Dhawan,434,56,48,13,1,13,4,113.33
174,GH Vihari,434,142,133,23,1,23,1,86.69
175,K Goel,429,130,71,11,1,17,9,91.21
176,S Anirudha,427,54,44,7,0,9,7,112.4
177,AB McDonald,422,38,42,9,1,9,4,119.42
178,SW Billings,412,21,26,11,0,4,4,133.33
179,I Malhotra,411,0,3,0,0,1,0,175.0
180,B Akhil,411,26,16,5,0,5,5,133.33
181,KS Williamson,409,56,78,4,1,15,1,100.0
182,ER Dwivedi,407,7,4,0,0,2,2,160.0
183,DW Steyn,406,71,54,19,0,14,3,103.11
184,AUK Pathan,405,14,3,2,0,5,2,150.0
185,BJ Haddin,403,5,2,1,0,2,1,163.64
186,SK Warne,403,105,82,12,0,14,6,90.41
187,LPC Silva,399,10,8,3,0,5,1,148.15
188,J Suchith,399,12,10,5,0,4,2,145.45
189,BB Samantray,398,48,45,8,0,13,2,107.76
190,DJ Harris,396,52,33,2,0,11,5,107.77
191,PA Reddy,396,72,65,12,1,15,2,98.2
192,TR Birt,394,27,15,6,0,9,2,127.12
193,Shivam Sharma,391,1,1,0,0,1,0,166.67
194,KMDN Kulasekara,391,1,1,0,0,1,0,166.67
195,B Kumar,391,75,50,13,0,15,3,98.72
196,TG Southee,390,10,13,5,0,3,2,142.42
197,KJ Abbott,388,3,2,1,1,0,1,162.5
198,Sunny Singh,387,12,11,1,0,6,1,138.71
199,AP Dole,386,7,8,4,0,3,1,147.83
200,W Jaffer,383,64,41,6,1,14,3,100.78
201,RE Levi,380,41,19,0,0,10,4,112.16
202,DL Vettori,380,46,54,4,1,11,2,102.54
203,SB Styris,376,53,63,5,0,10,3,97.76
204,S Aravind,374,7,7,0,0,5,0,142.11
205,Harmeet Singh,373,5,2,2,0,3,0,150.0
206,SD Chitnis,373,38,37,5,0,10,2,107.61
207,D Salunkhe,368,8,9,2,0,5,0,137.5
208,AP Majumdar,367,28,33,7,0,7,2,112.99
209,P Sahu,365,4,5,2,0,1,1,146.15
210,TM Head,364,14,16,7,0,3,2,128.57
211,LA Carseldine,364,31,23,4,2,11,0,114.08
212,N Saini,364,68,43,15,1,16,0,97.9
213,R McLaren,363,76,78,8,1,14,1,89.33
214,M Kartik,362,32,60,8,1,7,1,103.67
215,S Rana,361,33,29,10,0,9,1,110.98
216,AN Ahmed,360,11,8,3,0,4,1,133.33
217,AS Yadav,356,18,13,2,0,5,2,122.5
218,NK Patel,356,61,38,9,1,14,1,97.58
219,A Mithun,354,11,8,2,0,4,1,130.77
220,Ankit Sharma,354,25,16,4,0,5,3,116.98
221,RJ Quiney,354,57,30,2,1,12,3,98.1
222,RJ Harris,353,46,40,16,1,6,3,104.46
223,S Narwal,352,12,9,2,0,6,0,127.59
224,HV Patel,352,15,15,3,0,2,3,123.68
225,MN Samuels,352,68,52,9,0,8,5,92.96
226,CA Lynn,350,40,29,6,0,6,4,104.71
227,MG Johnson,350,71,45,11,0,7,6,93.57
228,MC Juneja,350,54,61,7,0,11,1,93.28
229,JDP Oram,349,50,46,3,0,6,5,96.36
230,Iqbal Abdulla,347,33,31,5,0,9,1,105.06
231,UT Yadav,347,39,30,2,0,8,3,102.44
232,MM Sharma,346,24,18,3,1,4,3,115.09
233,WPUJC Vaas,343,24,33,11,0,2,3,110.96
234,MJ Clarke,338,43,35,5,0,12,0,97.89
235,JO Holder,333,18,6,2,0,4,2,118.75
236,A Flintoff,333,24,23,2,1,5,2,108.77
237,MA Starc,331,41,38,9,0,10,0,97.96
238,DAJ Bracewell,330,1,6,1,0,1,0,133.33
239,K Upadhyay,330,3,4,1,0,0,1,133.33
240,Joginder Sharma,329,10,14,3,0,1,2,120.0
241,P Dogra,328,63,58,10,1,4,5,90.07
242,Sohail Tanvir,323,11,14,2,0,3,1,116.13
243,DJ Jacobs,323,62,22,3,0,10,4,91.09
244,Z Khan,323,65,43,7,0,11,2,88.28
245,VRV Singh,322,2,0,0,0,1,0,133.33
246,RR Powar,322,27,23,7,0,6,1,104.69
247,PR Shah,321,50,28,8,0,9,2,94.85
248,CRD Fernando,319,0,2,1,0,0,0,133.33
249,T Taibu,317,9,9,5,0,3,0,119.23
250,BR Dunk,317,20,6,3,0,7,0,111.11
251,AD Mascarenhas,317,29,35,9,0,5,1,100.0
252,Shoaib Malik,314,16,24,4,0,5,0,106.12
253,RR Rossouw,312,25,17,3,0,3,3,103.92
254,MJ Guptill,312,27,19,1,2,3,3,103.64
255,R Tewatia,310,5,4,3,0,0,1,123.08
256,M Klinger,306,36,30,2,1,9,0,93.59
257,VH Zol,305,13,7,2,0,3,1,111.54
258,DNT Zoysa,304,3,3,2,0,1,0,122.22
