,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets
333,TM Dilshan,711,79,139,14,1,27,0,15,5
332,Kuldeep Yadav,1026,28,27,7,0,5,1,6,6
331,M Muralitharan,5735,600,693,105,6,108,2,67,64
330,LA Carseldine,598,4,2,0,0,1,0,0,1
329,J Botha,2436,254,320,44,4,61,2,24,25
328,KA Pollard,4672,327,640,96,2,138,1,60,56
327,DR Smith,2377,151,200,36,0,62,2,24,24
326,Jaskaran Singh,965,39,35,8,2,22,1,4,6
325,A Flintoff,614,20,28,4,0,7,0,7,2
324,M Manhas,473,15,21,2,1,2,0,1,0
323,GR Napier,580,8,12,1,0,2,0,1,1
322,B Lee,2248,374,319,69,2,122,5,25,25
321,D du Preez,862,18,13,2,3,6,0,1,4
320,BMAJ Mendis,575,11,14,1,0,2,0,2,1
319,AR Patel,3913,331,454,66,3,84,1,47,43
318,SA Yadav,494,2,2,1,0,1,0,0,0
317,NM Coulter-Nile,2270,177,135,20,2,58,2,14,21
316,Mohammad Hafeez,651,22,32,1,0,5,1,2,2
315,LPC Silva,479,0,3,0,0,0,0,3,0
314,AL Menaria,696,40,48,6,0,15,0,4,3
313,HV Patel,2875,231,272,52,0,90,2,35,31
312,Joginder Sharma,1357,71,129,17,0,35,3,16,12
311,YK Pathan,3502,382,551,56,4,94,1,54,40
310,RG Sharma,1639,88,177,31,3,28,1,14,15
309,RG More,541,4,19,7,0,6,0,1,1
308,SK Trivedi,5548,492,714,137,7,151,5,51,65
307,STR Binny,1839,175,227,38,3,60,0,14,18
306,ND Doshi,645,24,21,1,0,5,0,6,2
305,MP Stoinis,1136,39,65,7,0,25,0,4,8
304,A Singh,2850,189,165,44,1,69,1,17,28
303,B Kumar,7689,715,635,110,8,209,7,46,85
302,C Nanda,655,13,26,8,0,1,0,2,2
301,R McLaren,1265,116,144,28,2,70,1,10,12
300,TP Sudhindra,481,18,30,8,0,8,1,9,1
299,CR Brathwaite,1049,41,68,11,1,16,1,5,7
298,JD Unadkat,3037,235,302,45,5,91,1,37,33
297,R Ashwin,8839,891,1075,136,6,158,3,90,100
296,AB Agarkar,2487,254,358,48,4,114,1,40,29
295,MS Gony,3259,344,327,49,4,134,0,52,37
294,SD Chitnis,647,9,19,2,0,4,1,3,2
293,P Parameswaran,1245,64,54,7,0,23,1,9,9
292,A Chandila,1458,103,92,11,1,17,0,10,11
291,DJ Thornely,779,19,20,0,0,5,0,0,3
290,DJ Muthuswami,836,44,15,6,1,15,0,3,4
289,KH Pandya,915,53,102,16,1,15,1,6,6
288,S Tyagi,889,93,68,12,0,35,0,12,6
287,RJ Peterson,751,21,14,3,0,5,0,5,3
286,BCJ Cutting,1021,32,41,5,0,12,0,2,6
285,R Tewatia,737,27,32,4,0,5,0,5,3
284,N Rana,500,3,3,0,0,0,0,0,0
283,MF Maharoof,2833,165,183,28,1,46,2,16,27
282,P Sahu,672,24,58,8,0,12,0,5,3
281,S Aravind,3953,232,226,29,2,82,1,26,40
280,CJ McKay,554,14,17,1,1,8,0,1,1
279,Parvez Rasool,687,60,95,12,0,22,0,11,4
278,VS Yeligati,445,6,16,0,0,7,1,2,0
277,SJ Srivastava,1559,103,121,16,1,50,2,13,14
276,Anand Rajan,1151,57,70,10,0,17,0,8,8
275,SP Narine,8011,684,611,119,4,121,2,53,85
274,RA Shaikh,490,1,3,0,0,2,0,0,0
273,M Vijay,459,8,21,2,0,6,0,0,0
272,C Munro,490,5,5,0,0,1,0,1,0
271,AD Mascarenhas,2159,124,111,30,2,35,0,8,19
270,TG Southee,1800,233,224,52,9,82,0,25,19
269,RR Powar,1428,166,182,29,4,42,2,18,13
268,BAW Mendis,1070,76,124,17,1,17,1,12,8
267,AS Raut,461,6,15,4,0,4,0,1,0
266,SE Bond,1250,75,73,13,0,27,0,3,9
265,DJG Sammy,1318,72,105,21,1,33,0,12,11
264,BB Sran,1587,107,127,24,0,39,1,14,14
263,HH Pandya,625,58,92,17,1,33,0,12,4
262,AF Milne,563,7,11,0,0,4,1,2,1
261,K Goel,425,19,29,7,1,9,0,2,0
260,Mashrafe Mortaza,447,6,10,4,0,3,1,4,0
259,RW Price,468,1,13,0,0,2,0,2,0
258,Swapnil Singh,474,3,11,1,0,1,0,2,0
257,V Sehwag,908,44,55,4,0,18,1,16,6
256,A Nel,576,7,5,1,0,3,0,2,1
255,DJ Harris,478,4,10,1,0,2,0,1,0
254,KMDN Kulasekara,923,45,34,12,0,16,0,0,5
253,KV Sharma,3346,286,387,54,3,63,0,64,37
252,K Santokie,724,15,17,7,0,6,0,6,3
251,AB McDonald,1387,50,97,10,0,20,0,11,11
250,J Theron,1364,68,116,14,0,28,0,8,11
249,S Dhawan,845,17,20,1,0,8,0,3,4
248,Bipul Sharma,1553,103,163,20,2,23,1,24,14
247,SB Joshi,536,18,24,2,0,6,0,5,1
246,SL Malinga,13131,970,960,158,7,260,4,47,143
245,RN ten Doeschate,628,22,48,6,0,4,0,3,2
244,GJ Maxwell,600,57,101,16,0,23,0,22,4
243,CK Langeveldt,1670,69,63,6,0,19,0,8,13
242,B Laughlin,537,9,22,5,0,7,0,2,1
241,LJ Wright,589,14,43,4,0,5,0,9,2
240,AUK Pathan,446,9,22,2,0,5,1,2,0
239,AB Dinda,5938,606,532,99,6,223,8,48,68
238,R Dhawan,1796,151,246,44,1,53,2,16,18
237,B Brainder Sran,469,5,9,0,0,4,1,1,0
236,KJ Abbott,546,28,35,9,0,25,1,4,2
235,D Kalyankrishna,622,10,25,2,1,8,0,4,2
234,MA Khote,653,5,14,5,0,4,0,2,2
233,M Ntini,1042,99,66,8,1,31,0,8,7
232,R Sathish,597,30,71,15,0,18,0,10,3
231,MA Starc,3407,232,231,57,5,78,1,8,34
230,PC Valthaty,1037,44,73,12,1,15,1,7,7
229,GD McGrath,1487,153,112,11,1,41,1,10,12
228,SB Bangar,734,55,55,10,1,24,1,7,4
227,JE Taylor,981,48,39,15,0,11,0,9,6
226,I Malhotra,477,0,1,1,0,2,0,2,0
