,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
0,SL Malinga,12473,970,960,158,7,260,4,47,143,6.58
1,A Mishra,10102,875,1092,194,4,168,3,129,124,7.19
2,DJ Bravo,9762,669,936,169,5,230,1,99,122,7.99
3,Harbhajan Singh,9485,966,1263,165,12,229,3,104,119,6.97
4,PP Chawla,9476,874,1039,194,9,224,6,126,120,7.61
5,R Ashwin,8190,891,1075,136,6,158,3,90,100,6.49
6,A Nehra,7957,751,655,101,7,252,4,71,98,7.61
7,DW Steyn,7641,978,726,126,14,265,5,45,92,6.61
8,R Vinay Kumar,7587,749,817,177,10,290,5,92,101,8.24
9,SP Narine,7380,684,611,119,4,121,2,53,85,6.3
10,Z Khan,7314,801,739,135,8,287,4,56,93,7.5
11,RP Singh,7062,744,661,127,8,263,1,69,90,7.72
12,B Kumar,6985,715,635,110,8,209,7,46,85,7.03
13,PP Ojha,6936,667,880,134,7,153,7,96,89,7.38
14,JA Morkel,6437,646,694,131,8,267,5,56,85,8.0
15,SR Watson,6306,700,670,118,5,247,1,55,81,7.5
16,M Morkel,6016,708,580,101,12,233,4,61,77,7.55
17,P Kumar,5989,1035,890,155,17,324,7,101,84,7.57
18,MM Patel,5983,580,440,73,8,185,2,49,73,7.43
19,IK Pathan,5878,831,773,117,4,294,2,80,80,7.67
20,DS Kulkarni,5852,565,468,78,9,192,4,51,73,7.67
21,RA Jadeja,5809,555,812,137,4,129,2,94,77,7.58
22,L Balaji,5768,537,659,113,3,191,2,68,76,7.92
23,MM Sharma,5549,497,465,91,6,185,0,44,70,7.78
24,UT Yadav,5321,596,684,113,11,261,3,59,74,8.19
25,AB Dinda,5161,606,532,99,6,223,8,48,68,7.77
26,R Bhatia,5078,427,891,107,5,121,2,65,69,7.44
27,M Muralitharan,5065,600,693,105,6,108,2,67,64,6.7
28,SK Trivedi,4798,492,714,137,7,151,5,51,65,7.5
29,JH Kallis,4477,601,782,107,6,240,5,57,65,7.82
30,SK Warne,4441,426,543,100,6,92,0,56,57,7.2
31,YS Chahal,4373,313,431,61,4,74,2,63,56,7.91
