,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
0,SL Malinga,2495,183,142,25,0,40,1,6,28,5.95
1,MM Patel,1775,145,113,15,0,51,0,5,22,6.92
2,R Ashwin,1637,157,165,21,0,30,1,11,20,6.21
3,S Aravind,1553,115,102,20,1,34,0,16,21,7.85
4,A Mishra,1478,130,129,24,0,27,0,14,19,6.83
5,R Sharma,1396,128,130,20,0,18,0,6,16,5.54
6,Iqbal Abdulla,1298,131,123,13,1,30,1,6,16,6.2
7,DE Bollinger,1271,114,116,22,1,32,2,7,17,7.0
8,DW Steyn,1089,134,96,10,2,41,0,3,14,6.41
9,PP Chawla,1045,93,100,15,1,28,1,15,16,8.08
10,YK Pathan,1041,93,112,10,0,22,0,4,13,6.08
11,RJ Harris,992,111,102,23,3,45,2,9,16,8.17
12,SK Warne,990,117,116,23,0,22,0,8,13,6.29
13,Harbhajan Singh,967,127,140,15,3,32,0,11,14,6.86
14,DL Vettori,898,119,145,18,0,23,0,7,12,6.06
15,JA Morkel,871,102,98,24,2,43,0,11,15,8.41
16,RP Singh,871,135,104,25,1,43,0,6,13,6.99
17,M Morkel,838,115,103,5,0,41,1,9,13,7.4
18,Z Khan,827,141,144,26,2,48,1,11,14,7.49
19,Shakib Al Hasan,805,59,73,7,0,12,0,7,11,6.76
20,R Vinay Kumar,711,103,111,16,0,43,0,5,12,7.47
21,I Sharma,685,121,90,18,0,39,0,7,11,7.12
22,AC Thomas,646,96,85,20,0,29,1,9,11,7.5
23,IK Pathan,636,124,102,9,1,40,2,10,11,7.35
24,DT Christian,613,109,115,23,0,34,0,10,11,7.39
25,Yuvraj Singh,604,61,81,17,0,9,0,7,9,6.63
26,PP Ojha,549,86,84,20,1,22,0,11,10,7.55
27,P Kumar,535,137,75,12,3,45,1,10,10,7.49
28,WD Parnell,522,75,66,12,0,25,4,2,9,7.3
29,A Singh,489,75,54,12,0,30,0,4,9,7.63
30,SB Jakati,482,80,130,23,4,21,0,11,10,7.6
31,R Bhatia,481,56,113,5,0,14,2,4,8,6.61
32,S Sreesanth,462,94,78,7,0,21,0,6,7,6.2
33,BJ Hodge,456,28,25,5,0,6,0,3,7,6.94
34,SK Trivedi,434,66,99,23,0,26,2,8,10,8.25
35,CH Gayle,416,80,103,15,1,14,2,10,8,7.02
36,MR Marsh,405,25,46,3,0,11,0,1,7,7.18
37,JH Kallis,403,54,64,13,0,17,0,2,7,6.8
38,BA Bhatt,402,55,77,10,2,19,0,9,9,8.2
39,L Balaji,391,89,120,24,1,38,0,10,10,8.15
40,KA Pollard,390,73,138,15,0,32,1,11,10,8.16
41,RA Jadeja,373,90,119,21,2,17,0,12,8,7.09
42,J Botha,371,81,98,14,1,18,1,6,7,6.67
43,RE van der Merwe,318,36,40,6,0,6,0,3,5,6.23
44,SJ Srivastava,280,49,43,7,0,21,2,6,8,8.82
45,SR Watson,266,78,102,22,0,21,0,3,6,6.63
46,PC Valthaty,265,43,71,12,1,13,1,6,7,7.86
