,bowler,bowlerpresumoverall2008,bowlerpresumoverall2009,bowlerpresumoverall2010,bowlerpresumoverall2011,bowlerpresumoverall2012,bowlerpresumoverall2013,bowlerpresumoverall2014,bowlerpresumoverall2015,bowlerpresumoverall2016
0,SL Malinga,0,1490,2546,5041,6921,8362,9654,11521,11521
1,A Mishra,811,1818,3097,4575,5290,7029,7058,7465,8265
2,DJ Bravo,632,1300,1300,1534,2389,4944,4944,6883,7808
3,Harbhajan Singh,108,1025,2247,3214,3340,5283,6304,7501,7778
4,R Ashwin,0,347,1338,2975,3921,4971,6047,6860,7437
5,PP Chawla,1078,1866,2535,3580,4638,5181,6084,6693,7343
6,SP Narine,0,0,0,0,2172,4150,5811,6079,6764
7,DW Steyn,706,717,1810,2899,4443,6061,6591,6591,6591
8,B Kumar,0,0,0,146,506,1451,3073,4297,6021
9,A Nehra,693,2224,2535,2535,2991,3482,3733,5442,5958
10,PP Ojha,607,1989,3550,4099,4644,5722,5722,5722,5722
11,RP Singh,815,2675,3316,4187,4724,5465,5465,5465,5465
12,Z Khan,773,1122,2050,2877,3993,4206,4427,4917,5431
13,R Vinay Kumar,91,458,1418,2129,3314,4880,4928,5009,5070
14,MM Patel,875,2209,2209,3984,4954,4954,4954,4954,4954
15,M Morkel,0,0,0,838,2804,2923,3650,4283,4751
16,MM Sharma,0,0,0,0,0,1699,3313,4040,4713
17,SR Watson,1272,1272,1446,1712,2020,2850,3176,3215,4528
18,JA Morkel,1080,1850,2301,3172,3948,4357,4400,4400,4400
19,IK Pathan,1144,2305,3065,3701,3886,4380,4380,4380,4380
20,RA Jadeja,0,336,336,709,1424,2241,3489,4062,4334
21,M Muralitharan,632,1878,3046,3046,4212,4212,4212,4212,4212
22,L Balaji,507,1217,1371,1762,2735,3374,3996,3996,3996
23,P Kumar,506,1254,1653,2188,2632,3425,3507,3554,3910
24,DS Kulkarni,681,744,744,887,1192,1607,1758,2568,3892
25,YS Chahal,0,0,0,0,0,0,722,2313,3805
26,SK Warne,1328,2260,2794,3784,3784,3784,3784,3784,3784
27,UT Yadav,0,0,201,201,1580,2405,2909,3237,3629
28,R Bhatia,130,826,826,1307,2040,2609,3331,3331,3512
29,SK Trivedi,680,922,1590,2024,2809,3511,3511,3511,3511
30,AB Dinda,592,592,1254,1254,1870,2702,2702,2702,3411
31,MG Johnson,0,0,0,0,0,1915,3001,3344,3344
32,A Kumble,169,1959,3234,3234,3234,3234,3234,3234,3234
33,JH Kallis,0,95,697,1100,2069,3146,3146,3146,3146
34,Sandeep Sharma,0,0,0,0,0,0,1226,2112,3136
35,KA Pollard,0,0,1064,1454,2544,2914,2914,2914,2914
36,S Aravind,0,0,0,1553,1553,1553,1553,2043,2751
37,JP Faulkner,0,0,0,97,97,2456,2706,2729,2729
38,CH Morris,0,0,0,0,0,904,904,1836,2712
39,I Sharma,195,963,1057,1742,1742,2673,2673,2673,2673
40,RJ Harris,0,214,1215,2207,2667,2667,2667,2667,2667
41,AR Patel,0,0,0,0,0,0,1300,1953,2642
42,DE Bollinger,0,0,917,2188,2609,2609,2609,2609,2609
43,MA Starc,0,0,0,0,0,0,865,2487,2487
44,SB Jakati,0,862,1663,2145,2465,2465,2465,2465,2465
45,Shakib Al Hasan,0,0,0,805,1704,1704,2414,2414,2438
46,R Sharma,0,0,59,1455,1802,2318,2318,2318,2318
47,MJ McClenaghan,0,0,0,0,0,0,0,1240,2305
48,KV Sharma,0,0,0,0,0,883,1834,2204,2204
49,P Awana,0,0,0,0,1153,2134,2134,2134,2134
50,S Sreesanth,1263,1415,1415,1877,1877,2009,2009,2009,2009
51,Sohail Tanvir,1922,1922,1922,1922,1922,1922,1922,1922,1922
52,Azhar Mahmood,0,0,0,0,912,1920,1920,1920,1920
53,Iqbal Abdulla,0,0,0,1298,1435,1766,1766,1815,1886
54,AD Russell,0,0,0,0,0,0,0,875,1854
55,KK Cooper,0,0,0,0,601,1836,1836,1836,1836
56,YK Pathan,299,655,743,1784,1784,1784,1784,1784,1832
57,MF Maharoof,1146,1396,1683,1683,1683,1683,1683,1683,1683
58,MC Henriques,0,0,0,0,0,213,213,1077,1659
59,A Singh,0,784,784,1273,1582,1582,1582,1582,1582
60,HV Patel,0,0,0,0,273,273,273,1487,1487
61,Yuvraj Singh,0,300,518,1122,1122,1420,1439,1439,1439
62,DP Nannes,0,1029,1434,1434,1434,1434,1434,1434,1434
63,PJ Sangwan,0,978,1403,1403,1403,1403,1403,1403,1403
64,NLTC Perera,0,0,0,0,0,1247,1247,1247,1400
65,Imran Tahir,0,0,0,0,0,0,443,1327,1334
66,JD Unadkat,0,0,2,166,166,941,1333,1333,1333
67,VR Aaron,0,0,0,0,221,221,1317,1317,1317
68,BW Hilfenhaus,0,0,0,0,1078,1078,1316,1316,1316
69,DL Vettori,0,263,263,1161,1301,1301,1301,1301,1301
70,S Nadeem,0,0,0,32,396,1030,1279,1279,1279
71,MS Gony,1157,1157,1157,1157,1157,1260,1260,1260,1260
72,WD Parnell,0,0,0,522,818,1033,1231,1231,1231
73,Mustafizur Rahman,0,0,0,0,0,0,0,0,1225
74,PV Tambe,0,0,0,0,0,0,1000,1217,1217
75,SW Tait,0,0,592,790,1210,1210,1210,1210,1210
76,J Botha,0,136,136,507,957,1208,1208,1208,1208
77,GB Hogg,0,0,0,0,591,591,591,1191,1191
78,M Kartik,0,179,733,733,733,1190,1190,1190,1190
79,A Symonds,0,435,1144,1144,1144,1144,1144,1144,1144
80,R Rampaul,0,0,0,0,0,1126,1126,1126,1126
81,NM Coulter-Nile,0,0,0,0,0,0,42,1076,1076
