,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,DA Warner,100,0,55,100,155,55,140.94,100.0
1,V Kohli,99,0,63,99,162,63,135.89,7.42
2,AB de Villiers,98,0,76,98,174,76,164.27,100.0
3,RG Sharma,83,0,49,83,132,49,132.26,7.44
4,KA Pollard,68,4,61,72,129,65,142.86,9.61
5,KD Karthik,60,0,100,60,160,100,121.49,100.0
6,DJ Bravo,41,98,59,139,100,157,119.49,8.14
7,B Kumar,23,100,36,123,59,136,99.12,7.02
8,MM Sharma,17,85,36,102,53,121,115.09,7.78
9,SP Narine,12,82,26,94,38,108,76.0,6.51
10,R Ashwin,25,62,31,87,56,93,101.76,6.69
