,fielder,overall,ratings
769,TM Dilshan,560,23
768,Kuldeep Yadav,120,1
767,M Muralitharan,440,17
766,LA Carseldine,180,4
765,J Botha,480,19
764,KA Pollard,1240,57
763,DR Smith,900,40
762,Jaskaran Singh,100,0
761,A Flintoff,160,3
760,M Manhas,560,23
759,GR Napier,100,0
758,B Lee,320,11
757,D du Preez,100,0
756,BMAJ Mendis,160,3
755,AR Patel,440,17
754,SA Yadav,540,22
753,NM Coulter-Nile,240,7
752,Mohammad Hafeez,140,2
751,LPC Silva,180,4
750,AL Menaria,180,4
749,HV Patel,340,12
748,Joginder Sharma,220,6
747,YK Pathan,980,44
746,RG Sharma,1480,69
745,RG More,120,1
744,SK Trivedi,400,15
743,STR Binny,520,21
742,ND Doshi,100,0
741,MP Stoinis,100,0
740,A Singh,120,1
739,B Kumar,420,16
738,C Nanda,100,0
737,R McLaren,220,6
736,TP Sudhindra,100,0
735,CR Brathwaite,180,4
734,JD Unadkat,220,6
733,R Ashwin,560,23
732,AB Agarkar,240,7
731,MS Gony,200,5
730,SD Chitnis,140,2
729,P Parameswaran,100,0
728,A Chandila,140,2
727,DJ Thornely,140,2
726,DJ Muthuswami,100,0
725,KH Pandya,140,2
724,S Tyagi,160,3
723,RJ Peterson,120,1
722,BCJ Cutting,160,3
721,R Tewatia,120,1
720,N Rana,100,0
719,MF Maharoof,200,5
718,P Sahu,100,0
717,S Aravind,180,4
716,CJ McKay,100,0
715,Parvez Rasool,160,3
714,VS Yeligati,100,0
713,SJ Srivastava,140,2
712,Anand Rajan,180,4
711,SP Narine,240,7
710,RA Shaikh,100,0
709,M Vijay,1060,48
708,C Munro,140,2
707,AD Mascarenhas,140,2
706,TG Southee,320,11
705,RR Powar,200,5
704,BAW Mendis,120,1
703,AS Raut,280,9
702,SE Bond,100,0
701,DJG Sammy,280,9
700,BB Sran,180,4
699,HH Pandya,360,13
698,AF Milne,120,1
697,K Goel,300,10
696,Mashrafe Mortaza,120,1
695,RW Price,100,0
694,Swapnil Singh,100,0
693,V Sehwag,940,42
692,A Nel,100,0
691,DJ Harris,140,2
690,KMDN Kulasekara,160,3
689,KV Sharma,280,9
688,K Santokie,120,1
687,AB McDonald,100,0
686,J Theron,160,3
685,S Dhawan,1040,47
684,Bipul Sharma,260,8
683,SB Joshi,100,0
682,SL Malinga,500,20
681,RN ten Doeschate,280,9
680,GJ Maxwell,500,20
679,CK Langeveldt,100,0
678,B Laughlin,100,0
677,LJ Wright,180,4
676,AUK Pathan,160,3
675,AB Dinda,320,11
674,R Dhawan,260,8
673,B Brainder Sran,100,0
672,KJ Abbott,100,0
671,D Kalyankrishna,120,1
670,MA Khote,100,0
669,M Ntini,160,3
668,R Sathish,320,11
667,MA Starc,420,16
666,PC Valthaty,160,3
665,GD McGrath,140,2
664,SB Bangar,180,4
663,JE Taylor,100,0
662,I Malhotra,100,0
661,SMSM Senanayake,140,2
660,S Sriram,100,0
659,Karanveer Singh,160,3
658,AM Rahane,1000,45
657,Shakib Al Hasan,320,11
656,Gagandeep Singh,100,0
655,R Bhatia,600,25
654,A Kumble,280,9
653,DE Bollinger,240,7
652,VS Malik,140,2
651,R Ninan,120,1
650,RR Raje,180,4
649,S Badree,100,0
648,B Geeves,160,3
647,SM Harwood,140,2
646,J Suchith,260,8
645,UT Yadav,540,22
644,MJ Clarke,120,1
643,BE Hendricks,160,3
642,T Henderson,100,0
641,R Vinay Kumar,820,36
640,M Morkel,380,14
639,Ankit Sharma,180,4
638,JH Kallis,760,33
637,LRPL Taylor,480,19
636,WA Mota,200,5
635,Kamran Khan,200,5
634,AD Russell,280,9
633,A Mishra,500,20
632,R Sharma,300,10
631,NLTC Perera,420,16
630,SS Mundhe,100,0
629,JJ Bumrah,120,1
628,P Amarnath,140,2
627,AA Chavan,160,3
626,YS Chahal,360,13
625,DJ Bravo,1380,64
624,LR Shukla,480,19
623,DJ Hussey,680,29
622,LMP Simmons,280,9
621,PD Collingwood,160,3
620,Shivam Sharma,120,1
619,KC Cariappa,140,2
618,D Wiese,200,5
617,RR Bose,100,0
616,A Zampa,100,0
615,AA Noffke,100,0
614,S Sreesanth,160,3
613,KP Pietersen,380,14
612,M de Lange,100,0
611,CL White,620,26
610,I Sharma,440,17
609,MC Henriques,540,22
608,Shoaib Malik,180,4
607,DAJ Bracewell,140,2
606,AS Rajpoot,120,1
605,Sohail Tanvir,220,6
604,L Balaji,340,12
603,Harbhajan Singh,820,36
602,DP Nannes,260,8
601,MB Parmar,100,0
600,T Shamsi,100,0
599,CH Gayle,540,22
598,V Pratap Singh,100,0
597,DNT Zoysa,100,0
596,Y Nagar,280,9
595,P Suyal,120,1
594,Mohammed Shami,200,5
593,SN Thakur,100,0
592,RE van der Merwe,260,8
591,SB Jakati,520,21
590,FY Fazal,220,6
589,AA Kazi,100,0
588,Pankaj Singh,140,2
587,S Nadeem,300,10
586,AM Nayar,380,14
585,Umar Gul,120,1
584,Harmeet Singh,160,3
583,TL Suman,400,15
582,Azhar Mahmood,240,7
581,SK Raina,1920,91
580,GS Sandhu,100,0
579,Gurkeerat Singh,360,13
578,Y Venugopal Rao,380,14
577,MR Marsh,260,8
576,GH Vihari,260,8
575,MK Tiwary,880,39
574,SS Sarkar,100,0
573,Yuvraj Singh,760,33
572,WD Parnell,220,6
571,R Rampaul,180,4
570,BA Bhatt,100,0
569,BW Hilfenhaus,120,1
568,VR Aaron,160,3
567,AM Salvi,140,2
566,RS Bopara,180,4
565,PP Ojha,380,14
564,SB Styris,160,3
563,A Uniyal,100,0
562,P Prasanth,100,0
561,K Upadhyay,120,1
560,CRD Fernando,140,2
559,MM Sharma,400,15
558,M Ashwin,100,0
557,SR Watson,720,31
556,AD Mathews,480,19
555,PM Sarvesh Kumar,100,0
554,IC Pandey,220,6
553,DS Kulkarni,360,13
552,RP Singh,780,34
551,AA Jhunjhunwala,380,14
550,M Kartik,480,19
549,NJ Rimmington,100,0
548,Sandeep Sharma (1),100,0
547,MJ McClenaghan,120,1
546,RS Gavaskar,100,0
545,MG Neser,100,0
544,B Akhil,180,4
543,JD Ryder,300,10
542,AP Dole,140,2
541,AJ Finch,440,17
540,S Kaul,120,1
539,A Nehra,440,17
538,T Thushara,160,3
537,SM Pollock,140,2
536,Iqbal Abdulla,400,15
535,Shami Ahmed,100,0
534,IK Pathan,760,33
533,MN Samuels,120,1
532,P Negi,320,11
531,S Vidyut,120,1
530,A Ashish Reddy,300,10
529,DJ Hooda,240,7
528,NL McCullum,120,1
527,Imran Tahir,160,3
526,D Salunkhe,140,2
525,DP Vijaykumar,100,0
524,BJ Hodge,600,25
523,KW Richardson,200,5
522,V Kohli,1460,68
521,SW Tait,220,6
520,J Syed Mohammad,120,1
519,Sandeep Sharma,200,5
518,KK Cooper,380,14
517,Sachin Baby,180,4
516,S Randiv,160,3
515,GB Hogg,200,5
514,PJ Sangwan,260,8
513,Shoaib Ahmed,180,4
512,RA Jadeja,1140,52
511,AN Ahmed,160,3
510,JEC Franklin,220,6
509,TA Boult,220,6
508,Anureet Singh,200,5
507,JM Kemp,120,1
506,P Awana,200,5
505,SPD Smith,880,39
504,SA Abbott,100,0
503,WPUJC Vaas,120,1
502,L Ablish,100,0
501,DL Vettori,340,12
500,SK Warne,360,13
499,FH Edwards,100,0
498,Y Gnaneswara Rao,140,2
497,S Rana,160,3
496,JP Faulkner,440,17
495,DL Chahar,120,1
494,KS Williamson,240,7
493,S Narwal,140,2
492,Sunny Gupta,100,0
491,VRV Singh,160,3
490,A Symonds,520,21
489,DB Ravi Teja,360,13
488,VY Mahesh,220,6
487,KP Appanna,180,4
486,S Ladda,160,3
485,J Yadav,140,2
484,JDP Oram,260,8
483,AG Murtaza,180,4
482,KAJ Roach,120,1
481,RV Gomez,180,4
480,F du Plessis,760,33
479,SB Wagh,140,2
478,DW Steyn,620,26
477,JA Morkel,520,21
476,AC Thomas,180,4
475,RR Bhatkal,120,1
474,RJ Harris,460,18
473,B Chipli,160,3
472,ST Jayasuriya,220,6
471,Mohammad Asif,100,0
470,DT Christian,380,14
469,CH Morris,460,18
468,JW Hastings,100,0
467,PP Chawla,760,33
466,CK Kapugedera,180,4
465,YA Abdulla,100,0
464,JO Holder,200,5
463,Abdur Razzak,100,0
462,A Mithun,260,8
461,V Shankar,100,0
460,S Kaushik,100,0
459,JDS Neesham,100,0
458,P Kumar,440,17
457,MM Patel,360,13
456,JP Duminy,680,29
455,AC Voges,180,4
454,SM Boland,100,0
453,PJ Cummins,120,1
452,SC Ganguly,560,23
451,SR Tendulkar,620,26
450,PV Tambe,120,1
449,C Ganapathy,100,0
448,JJ van der Wath,100,0
447,R Shukla,200,5
446,CJ Anderson,220,6
445,Mustafizur Rahman,140,2
444,AC Gilchrist,1600,75
443,Z Khan,500,20
442,Shoaib Akhtar,100,0
441,BJ Rohrer,200,5
440,JR Hopes,200,5
439,S Gopal,100,0
438,CJ Jordan,160,3
