,fielder,overall,ratings
0,KD Karthik,2480,119
1,MS Dhoni,2320,111
2,RV Uthappa,2100,100
3,AB de Villiers,2000,95
4,SK Raina,1920,91
5,NV Ojha,1620,76
6,PA Patel,1600,75
7,AC Gilchrist,1600,75
8,RG Sharma,1480,69
9,V Kohli,1460,68
10,DJ Bravo,1380,64
11,WP Saha,1280,59
12,KC Sangakkara,1260,58
13,KA Pollard,1240,57
14,MK Pandey,1160,53
15,AT Rayudu,1140,52
16,RA Jadeja,1140,52
17,DA Warner,1080,49
18,M Vijay,1060,48
19,S Dhawan,1040,47
20,AM Rahane,1000,45
21,YK Pathan,980,44
22,DA Miller,980,44
23,V Sehwag,940,42
24,SV Samson,920,41
25,DR Smith,900,40
26,SPD Smith,880,39
27,MK Tiwary,880,39
28,DPMD Jayawardene,880,39
29,BB McCullum,880,39
30,R Vinay Kumar,820,36
31,Harbhajan Singh,820,36
32,RP Singh,780,34
33,JH Kallis,760,33
34,F du Plessis,760,33
35,IK Pathan,760,33
36,Yuvraj Singh,760,33
37,PP Chawla,760,33
38,SR Watson,720,31
39,MS Bisla,700,30
40,DJ Hussey,680,29
41,JP Duminy,680,29
42,G Gambhir,660,28
43,HH Gibbs,640,27
44,SE Marsh,640,27
45,SS Tiwary,640,27
46,MEK Hussey,640,27
47,EJG Morgan,620,26
48,R Dravid,620,26
49,CL White,620,26
50,DW Steyn,620,26
51,SR Tendulkar,620,26
52,R Bhatia,600,25
53,BJ Hodge,600,25
54,SC Ganguly,560,23
55,TM Dilshan,560,23
56,R Ashwin,560,23
57,M Manhas,560,23
58,Mandeep Singh,560,23
59,MC Henriques,540,22
60,CH Gayle,540,22
61,SA Yadav,540,22
62,UT Yadav,540,22
63,S Badrinath,520,21
64,STR Binny,520,21
65,SB Jakati,520,21
66,SP Goswami,520,21
67,YV Takawale,520,21
68,A Symonds,520,21
69,M Rawat,520,21
70,JA Morkel,520,21
71,KM Jadhav,520,21
72,Z Khan,500,20
73,SL Malinga,500,20
74,A Mishra,500,20
75,GJ Maxwell,500,20
76,AD Mathews,480,19
77,LR Shukla,480,19
78,MA Agarwal,480,19
79,DH Yagnik,480,19
80,J Botha,480,19
81,M Kartik,480,19
82,LRPL Taylor,480,19
83,RJ Harris,460,18
84,CH Morris,460,18
85,KL Rahul,460,18
86,MV Boucher,460,18
87,AR Patel,440,17
88,AJ Finch,440,17
89,P Kumar,440,17
90,JP Faulkner,440,17
91,A Nehra,440,17
92,M Muralitharan,440,17
93,I Sharma,440,17
94,GJ Bailey,420,16
95,MG Johnson,420,16
96,B Kumar,420,16
97,M Kaif,420,16
98,NLTC Perera,420,16
99,MA Starc,420,16
100,TL Suman,400,15
101,SK Trivedi,400,15
102,MM Sharma,400,15
103,Iqbal Abdulla,400,15
104,KK Cooper,380,14
105,M Morkel,380,14
106,KP Pietersen,380,14
107,DT Christian,380,14
108,AA Jhunjhunwala,380,14
109,PP Ojha,380,14
