,fielder,overall,ratings
0,AC Gilchrist,560,23
1,KD Karthik,500,20
2,AB de Villiers,400,15
3,HH Gibbs,380,14
4,V Kohli,320,11
5,KC Sangakkara,300,10
6,PR Shah,280,9
7,DJ Bravo,280,9
8,MS Dhoni,260,8
9,SK Raina,260,8
10,M Rawat,260,8
11,MV Boucher,260,8
12,DPMD Jayawardene,260,8
13,RV Uthappa,260,8
14,Y Venugopal Rao,240,7
15,NV Ojha,240,7
16,SK Raina,240,7
17,MN van Wyk,240,7
18,SR Tendulkar,240,7
19,PP Chawla,220,6
20,ML Hayden,220,6
21,RP Singh,220,6
22,Yuvraj Singh,220,6
23,JDP Oram,220,6
24,DB Ravi Teja,220,6
25,SK Warne,220,6
26,Y Venugopal Rao,220,6
27,BB McCullum,220,6
28,M Muralitharan,220,6
29,DR Smith,220,6
30,Yuvraj Singh,200,5
31,DL Vettori,200,5
32,TM Dilshan,200,5
33,RA Jadeja,200,5
34,DA Warner,200,5
35,S Badrinath,200,5
36,Kamran Khan,200,5
37,JP Duminy,200,5
38,LR Shukla,200,5
39,PP Chawla,200,5
40,RG Sharma,200,5
41,RJ Harris,200,5
42,CH Gayle,200,5
43,K Goel,200,5
44,JH Kallis,200,5
45,LA Carseldine,180,4
46,L Balaji,180,4
47,V Sehwag,180,4
48,TL Suman,180,4
49,AM Nayar,180,4
50,Shoaib Ahmed,180,4
51,R Vinay Kumar,180,4
52,RE van der Merwe,180,4
53,R Bhatia,180,4
54,NK Patel,180,4
55,YV Takawale,180,4
56,MK Pandey,180,4
57,DP Nannes,180,4
58,PJ Sangwan,180,4
59,SM Katich,180,4
60,A Kumble,160,3
61,KP Pietersen,160,3
62,BJ Hodge,160,3
63,LRPL Taylor,160,3
64,SC Ganguly,160,3
65,RR Powar,160,3
66,A Mishra,160,3
67,PA Patel,160,3
68,A Flintoff,160,3
69,SB Jakati,160,3
70,Harbhajan Singh,160,3
71,AS Raut,160,3
72,YK Pathan,160,3
73,A Nehra,160,3
74,MC Henriques,160,3
75,Harmeet Singh,160,3
76,WA Mota,160,3
77,SL Malinga,160,3
78,Yashpal Singh,160,3
79,R Dravid,160,3
80,VRV Singh,140,2
81,S Dhawan,140,2
82,SK Trivedi,140,2
83,SS Shaikh,140,2
84,JD Ryder,140,2
85,ST Jayasuriya,140,2
86,PP Ojha,140,2
87,DW Steyn,140,2
88,S Sohal,140,2
89,WP Saha,140,2
90,RR Raje,140,2
91,DJ Hussey,140,2
92,Z Khan,140,2
93,M Vijay,140,2
94,SM Harwood,140,2
95,JA Morkel,140,2
96,G Gambhir,140,2
97,Mohammad Ashraful,140,2
98,P Kumar,140,2
99,RJ Quiney,140,2
100,AB Dinda,140,2
101,M Manhas,140,2
102,IK Pathan,140,2
103,M Morkel,140,2
104,A Flintoff,140,2
105,GC Smith,140,2
106,MS Gony,120,1
107,R Ashwin,120,1
108,T Thushara,120,1
109,AM Rahane,120,1
110,I Sharma,120,1
111,AN Ghosh,120,1
112,Mashrafe Mortaza,120,1
113,KV Sharma,120,1
114,B Akhil,120,1
115,A Symonds,120,1
116,BAW Mendis,120,1
117,S Tyagi,120,1
118,AD Mathews,120,1
119,AD Mascarenhas,120,1
120,M Kartik,120,1
121,J Botha,120,1
122,AM Salvi,120,1
123,Pankaj Singh,120,1
124,MK Tiwary,120,1
125,DS Kulkarni,120,1
126,RS Bopara,120,1
127,SP Goswami,120,1
128,MM Patel,120,1
129,SA Asnodkar,120,1
130,LA Pomersbach,120,1
131,AB Agarkar,120,1
132,L Ronchi,120,1
133,B Lee,120,1
134,A Chopra,120,1
135,W Jaffer,120,1
136,VVS Laxman,120,1
137,VS Malik,120,1
138,SM Harwood,120,1
139,R Bishnoi,120,1
140,MF Maharoof,100,0
141,RA Shaikh,100,0
142,A Mithun,100,0
143,T Henderson,100,0
144,GR Napier,100,0
145,CK Langeveldt,100,0
146,KP Appanna,100,0
147,SB Styris,100,0
148,WPUJC Vaas,100,0
149,VY Mahesh,100,0
150,SD Chitnis,100,0
151,AA Bilakhia,100,0
152,Joginder Sharma,100,0
153,AB McDonald,100,0
154,C Nanda,100,0
155,SS Sarkar,100,0
156,A Singh,100,0
157,S Sreesanth,100,0
158,GJ Bailey,100,0
159,TM Srivastava,100,0
160,T Kohli,100,0
161,Jaskaran Singh,100,0
162,PC Valthaty,100,0
163,Anureet Singh,100,0
164,D du Preez,100,0
165,Y Nagar,100,0
166,SS Tiwary,100,0
167,RR Bose,100,0
168,SB Bangar,100,0
169,YA Abdulla,100,0
170,FH Edwards,100,0
