,fielder,fielderpresumoverall2008,fielderpresumoverall2009,fielderpresumoverall2010,fielderpresumoverall2011,fielderpresumoverall2012,fielderpresumoverall2013,fielderpresumoverall2014,fielderpresumoverall2015,fielderpresumoverall2016
0,KD Karthik,280,780,1160,1400,1660,2040,2360,2880,3280
1,MS Dhoni,260,520,880,1260,1680,2160,2400,2760,3120
2,RV Uthappa,300,560,920,1340,1640,1880,2180,2520,2900
3,AB de Villiers,180,580,860,1200,1520,1800,2040,2320,2800
4,SK Raina,320,560,920,1080,1380,1720,2100,2400,2660
5,PA Patel,220,380,520,860,1120,1380,1760,2100,2400
6,NV Ojha,0,240,480,740,1180,1300,1600,1840,2320
7,RG Sharma,260,460,760,1020,1400,1660,1900,2120,2280
8,V Kohli,140,460,660,900,1180,1480,1740,2020,2260
9,DJ Bravo,180,460,660,800,1140,1500,1600,1960,2160
10,AC Gilchrist,260,820,1200,1540,1740,2100,2100,2100,2100
11,WP Saha,320,460,680,840,940,1040,1380,1760,2080
12,MK Pandey,120,300,540,740,920,1160,1420,1680,1960
13,S Dhawan,280,420,600,820,1040,1200,1400,1620,1840
14,KA Pollard,0,0,260,540,760,1080,1340,1620,1820
15,RA Jadeja,320,520,520,700,900,1100,1260,1640,1820
16,YK Pathan,200,360,640,840,1020,1220,1440,1620,1780
17,DA Warner,0,200,480,680,820,1060,1340,1600,1780
18,KC Sangakkara,180,480,840,1320,1600,1760,1760,1760,1760
19,M Vijay,0,140,500,700,920,1180,1440,1620,1760
20,AT Rayudu,0,0,280,580,740,1020,1260,1540,1740
21,AM Rahane,120,240,240,360,680,1000,1240,1440,1700
22,BB McCullum,120,340,480,620,1080,1180,1420,1560,1680
23,V Sehwag,260,440,580,860,1140,1320,1520,1620,1620
24,Harbhajan Singh,160,320,500,620,880,1120,1280,1420,1620
25,R Vinay Kumar,160,340,500,680,900,1140,1260,1480,1600
26,DR Smith,140,360,460,460,600,860,1060,1340,1580
27,MK Tiwary,180,300,480,700,1000,1300,1440,1580,1580
28,PP Chawla,220,420,600,760,900,1020,1200,1340,1520
29,G Gambhir,140,280,460,620,860,1000,1160,1340,1460
30,IK Pathan,220,360,540,720,1000,1200,1340,1340,1460
31,Yuvraj Singh,300,500,640,840,840,960,1160,1300,1440
32,SR Watson,120,120,280,440,580,820,980,1120,1420
33,DW Steyn,200,340,500,620,760,940,1180,1320,1420
34,R Bhatia,120,300,440,640,860,960,1160,1260,1400
35,DPMD Jayawardene,180,440,700,940,1180,1380,1380,1380,1380
36,DA Miller,0,0,0,0,140,400,780,1020,1380
37,RP Singh,200,420,680,900,1080,1280,1280,1280,1380
38,JH Kallis,160,360,600,880,1040,1220,1360,1360,1360
39,SE Marsh,180,180,300,520,820,980,1120,1220,1340
40,SS Tiwary,120,220,400,600,760,900,900,1100,1340
41,JA Morkel,160,300,480,640,780,940,1080,1200,1320
42,A Mishra,100,260,500,620,760,900,1000,1140,1300
43,Z Khan,140,280,460,640,840,940,1040,1140,1300
44,DJ Hussey,200,340,520,780,980,1160,1280,1280,1280
45,R Ashwin,0,120,260,420,640,800,940,1100,1260
46,SPD Smith,0,0,0,0,380,560,860,1120,1260
47,JP Duminy,0,200,360,480,680,680,820,1080,1260
48,CH Gayle,0,200,340,480,620,800,940,1060,1240
49,MEK Hussey,140,140,240,460,640,960,1120,1240,1240
50,P Kumar,140,280,400,540,680,800,940,1100,1240
51,SV Samson,0,0,0,0,0,400,720,1040,1220
52,MS Bisla,0,0,180,340,600,940,1060,1200,1200
53,BJ Hodge,140,300,460,580,820,1060,1200,1200,1200
54,DS Kulkarni,160,280,380,500,620,720,860,1020,1160
55,I Sharma,140,260,380,540,540,800,900,1000,1140
56,STR Binny,0,0,100,260,380,560,740,960,1120
57,R Dravid,160,320,540,700,920,1120,1120,1120,1120
58,AB Dinda,140,280,400,500,620,800,900,1020,1120
59,UT Yadav,0,0,140,300,460,680,800,1000,1120
60,A Nehra,220,380,520,520,640,740,840,1000,1120
61,SR Tendulkar,220,460,620,820,920,1120,1120,1120,1120
62,SL Malinga,0,160,340,520,700,840,940,1100,1100
63,Iqbal Abdulla,100,100,220,380,600,700,820,940,1100
64,LRPL Taylor,120,280,460,640,800,940,1080,1080,1080
65,LR Shukla,160,360,480,580,820,960,1080,1080,1080
66,PP Ojha,160,300,480,620,740,880,980,1080,1080
67,M Kartik,200,320,500,620,780,960,1080,1080,1080
68,TM Dilshan,240,440,620,740,920,1060,1060,1060,1060
69,M Morkel,0,140,260,380,500,620,820,960,1060
70,F du Plessis,0,0,0,0,220,220,600,880,1060
71,M Muralitharan,180,400,560,680,800,940,1040,1040,1040
72,MC Henriques,0,160,280,280,280,480,580,700,1040
73,AJ Finch,0,0,100,280,400,540,780,880,1040
74,Mandeep Singh,0,0,100,240,440,680,800,1040,1040
75,M Manhas,0,140,380,540,720,860,1020,1020,1020
76,S Badrinath,240,440,600,720,880,1020,1020,1020,1020
77,CL White,200,200,380,540,700,1020,1020,1020,1020
78,KM Jadhav,0,0,100,260,260,480,640,900,1020
79,EJG Morgan,0,0,200,400,400,660,660,860,1020
80,SB Jakati,0,160,300,540,720,720,820,820,1000
81,MA Agarwal,0,0,0,160,440,600,720,880,980
82,AM Nayar,180,360,500,640,740,860,980,980,980
83,SC Ganguly,200,360,620,740,960,960,960,960,960
84,L Balaji,120,300,420,560,680,840,940,940,940
85,HH Gibbs,220,600,820,820,940,940,940,940,940
86,JP Faulkner,0,0,0,100,220,420,580,760,940
87,B Kumar,0,0,0,140,240,380,500,700,920
88,NLTC Perera,0,0,100,220,360,600,600,700,920
89,SP Goswami,200,320,420,660,920,920,920,920,920
90,SK Trivedi,160,300,440,560,720,900,900,900,900
91,GJ Maxwell,0,0,0,0,100,240,520,660,880
92,AD Mathews,0,120,300,300,480,680,680,880,880
93,J Botha,0,120,120,360,500,680,680,860,860
94,Y Venugopal Rao,100,320,420,600,720,720,860,860,860
95,MM Patel,160,280,400,560,760,860,860,860,860
96,S Anirudha,100,100,260,520,640,740,840,840,840
97,SA Yadav,0,0,0,0,100,100,360,600,840
98,RJ Harris,0,200,360,600,740,840,840,840,840
99,B Lee,140,260,400,540,700,820,820,820,820
100,JD Unadkat,0,0,140,280,380,520,620,720,820
101,GJ Bailey,0,100,200,200,200,200,540,680,820
102,S Nadeem,0,0,0,100,280,420,540,700,800
103,TL Suman,0,180,360,540,660,800,800,800,800
104,A Symonds,160,280,600,800,800,800,800,800,800
105,KP Pietersen,0,160,320,320,520,520,660,660,780
106,DH Yagnik,0,0,0,260,400,660,780,780,780
107,UBT Chand,0,0,0,100,220,400,500,660,760
108,Bipul Sharma,0,0,160,280,400,500,500,620,760
109,KL Rahul,0,0,0,0,0,140,320,460,760
110,PJ Sangwan,140,320,440,440,540,640,640,640,760
111,DB Ravi Teja,140,360,360,560,660,760,760,760,760
112,MV Boucher,180,440,640,760,760,760,760,760,760
113,AB Agarkar,120,240,360,480,620,740,740,740,740
114,DL Vettori,100,300,400,580,740,740,740,740,740
115,YV Takawale,360,540,540,540,540,540,720,720,720
116,Shakib Al Hasan,0,0,0,120,240,240,380,500,720
117,M Kaif,260,260,400,620,720,720,720,720,720
118,M Rawat,320,580,580,580,580,720,720,720,720
119,P Negi,0,0,0,0,140,240,360,560,720
120,MG Johnson,0,0,0,0,0,260,480,580,720
121,MS Gony,140,260,380,480,600,700,700,700,700
122,R Sharma,0,0,100,320,460,600,700,700,700
123,KV Sharma,0,120,120,120,120,280,400,580,680
124,RN ten Doeschate,0,0,0,140,260,380,520,680,680
125,MM Sharma,0,0,0,0,0,160,320,500,680
126,AD Russell,0,0,0,0,100,220,320,500,660
127,RE van der Merwe,0,180,280,440,560,660,660,660,660
128,Gurkeerat Singh,0,0,0,0,140,340,340,460,660
